_id,Baltimore Ravens            .W,Baltimore Ravens            .L,Baltimore Ravens            .T,Baltimore Ravens            .PCT,Baltimore Ravens            .PF,Baltimore Ravens            .PA,Baltimore Ravens            .Net Pts,Baltimore Ravens            .Home,Baltimore Ravens            .Road,Baltimore Ravens            .Div,Baltimore Ravens            .Pct,Baltimore Ravens            .Conf,Baltimore Ravens            .Non-Conf,Baltimore Ravens            .Strk,Baltimore Ravens            .Last 5,Baltimore Ravens            .year,Green Bay Packers            .W,Green Bay Packers            .L,Green Bay Packers            .T,Green Bay Packers            .PCT,Green Bay Packers            .PF,Green Bay Packers            .PA,Green Bay Packers            .Net Pts,Green Bay Packers            .Home,Green Bay Packers            .Road,Green Bay Packers            .Div,Green Bay Packers            .Pct,Green Bay Packers            .Conf,Green Bay Packers            .Non-Conf,Green Bay Packers            .Strk,Green Bay Packers            .Last 5,Green Bay Packers            .year,New Orleans Saints            .W,New Orleans Saints            .L,New Orleans Saints            .T,New Orleans Saints            .PCT,New Orleans Saints            .PF,New Orleans Saints            .PA,New Orleans Saints            .Net Pts,New Orleans Saints            .Home,New Orleans Saints            .Road,New Orleans Saints            .Div,New Orleans Saints            .Pct,New Orleans Saints            .Conf,New Orleans Saints            .Non-Conf,New Orleans Saints            .Strk,New Orleans Saints            .Last 5,New Orleans Saints            .year,San Francisco 49ers            x            49ers            x.W,San Francisco 49ers            x            49ers            x.L,San Francisco 49ers            x            49ers            x.T,San Francisco 49ers            x            49ers            x.PCT,San Francisco 49ers            x            49ers            x.PF,San Francisco 49ers            x            49ers            x.PA,San Francisco 49ers            x            49ers            x.Net Pts,San Francisco 49ers            x            49ers            x.Home,San Francisco 49ers            x            49ers            x.Road,San Francisco 49ers            x            49ers            x.Div,San Francisco 49ers            x            49ers            x.Pct,San Francisco 49ers            x            49ers            x.Conf,San Francisco 49ers            x            49ers            x.Non-Conf,San Francisco 49ers            x            49ers            x.Strk,San Francisco 49ers            x            49ers            x.Last 5,San Francisco 49ers            x            49ers            x.year,Kansas City Chiefs            .W,Kansas City Chiefs            .L,Kansas City Chiefs            .T,Kansas City Chiefs            .PCT,Kansas City Chiefs            .PF,Kansas City Chiefs            .PA,Kansas City Chiefs            .Net Pts,Kansas City Chiefs            .Home,Kansas City Chiefs            .Road,Kansas City Chiefs            .Div,Kansas City Chiefs            .Pct,Kansas City Chiefs            .Conf,Kansas City Chiefs            .Non-Conf,Kansas City Chiefs            .Strk,Kansas City Chiefs            .Last 5,Kansas City Chiefs            .year,New England Patriots            .W,New England Patriots            .L,New England Patriots            .T,New England Patriots            .PCT,New England Patriots            .PF,New England Patriots            .PA,New England Patriots            .Net Pts,New England Patriots            .Home,New England Patriots            .Road,New England Patriots            .Div,New England Patriots            .Pct,New England Patriots            .Conf,New England Patriots            .Non-Conf,New England Patriots            .Strk,New England Patriots            .Last 5,New England Patriots            .year,Seattle Seahawks.W,Seattle Seahawks.L,Seattle Seahawks.T,Seattle Seahawks.PCT,Seattle Seahawks.PF,Seattle Seahawks.PA,Seattle Seahawks.Net Pts,Seattle Seahawks.Home,Seattle Seahawks.Road,Seattle Seahawks.Div,Seattle Seahawks.Pct,Seattle Seahawks.Conf,Seattle Seahawks.Non-Conf,Seattle Seahawks.Strk,Seattle Seahawks.Last 5,Seattle Seahawks.year,Buffalo Bills            x            Bills            x.W,Buffalo Bills            x            Bills            x.L,Buffalo Bills            x            Bills            x.T,Buffalo Bills            x            Bills            x.PCT,Buffalo Bills            x            Bills            x.PF,Buffalo Bills            x            Bills            x.PA,Buffalo Bills            x            Bills            x.Net Pts,Buffalo Bills            x            Bills            x.Home,Buffalo Bills            x            Bills            x.Road,Buffalo Bills            x            Bills            x.Div,Buffalo Bills            x            Bills            x.Pct,Buffalo Bills            x            Bills            x.Conf,Buffalo Bills            x            Bills            x.Non-Conf,Buffalo Bills            x            Bills            x.Strk,Buffalo Bills            x            Bills            x.Last 5,Buffalo Bills            x            Bills            x.year,Houston Texans            .W,Houston Texans            .L,Houston Texans            .T,Houston Texans            .PCT,Houston Texans            .PF,Houston Texans            .PA,Houston Texans            .Net Pts,Houston Texans            .Home,Houston Texans            .Road,Houston Texans            .Div,Houston Texans            .Pct,Houston Texans            .Conf,Houston Texans            .Non-Conf,Houston Texans            .Strk,Houston Texans            .Last 5,Houston Texans            .year,Minnesota Vikings            x            Vikings            x.W,Minnesota Vikings            x            Vikings            x.L,Minnesota Vikings            x            Vikings            x.T,Minnesota Vikings            x            Vikings            x.PCT,Minnesota Vikings            x            Vikings            x.PF,Minnesota Vikings            x            Vikings            x.PA,Minnesota Vikings            x            Vikings            x.Net Pts,Minnesota Vikings            x            Vikings            x.Home,Minnesota Vikings            x            Vikings            x.Road,Minnesota Vikings            x            Vikings            x.Div,Minnesota Vikings            x            Vikings            x.Pct,Minnesota Vikings            x            Vikings            x.Conf,Minnesota Vikings            x            Vikings            x.Non-Conf,Minnesota Vikings            x            Vikings            x.Strk,Minnesota Vikings            x            Vikings            x.Last 5,Minnesota Vikings            x            Vikings            x.year,Los Angeles Rams.W,Los Angeles Rams.L,Los Angeles Rams.T,Los Angeles Rams.PCT,Los Angeles Rams.PF,Los Angeles Rams.PA,Los Angeles Rams.Net Pts,Los Angeles Rams.Home,Los Angeles Rams.Road,Los Angeles Rams.Div,Los Angeles Rams.Pct,Los Angeles Rams.Conf,Los Angeles Rams.Non-Conf,Los Angeles Rams.Strk,Los Angeles Rams.Last 5,Los Angeles Rams.year,Philadelphia Eagles            .W,Philadelphia Eagles            .L,Philadelphia Eagles            .T,Philadelphia Eagles            .PCT,Philadelphia Eagles            .PF,Philadelphia Eagles            .PA,Philadelphia Eagles            .Net Pts,Philadelphia Eagles            .Home,Philadelphia Eagles            .Road,Philadelphia Eagles            .Div,Philadelphia Eagles            .Pct,Philadelphia Eagles            .Conf,Philadelphia Eagles            .Non-Conf,Philadelphia Eagles            .Strk,Philadelphia Eagles            .Last 5,Philadelphia Eagles            .year,Tennessee Titans            x            Titans            x.W,Tennessee Titans            x            Titans            x.L,Tennessee Titans            x            Titans            x.T,Tennessee Titans            x            Titans            x.PCT,Tennessee Titans            x            Titans            x.PF,Tennessee Titans            x            Titans            x.PA,Tennessee Titans            x            Titans            x.Net Pts,Tennessee Titans            x            Titans            x.Home,Tennessee Titans            x            Titans            x.Road,Tennessee Titans            x            Titans            x.Div,Tennessee Titans            x            Titans            x.Pct,Tennessee Titans            x            Titans            x.Conf,Tennessee Titans            x            Titans            x.Non-Conf,Tennessee Titans            x            Titans            x.Strk,Tennessee Titans            x            Titans            x.Last 5,Tennessee Titans            x            Titans            x.year,Chicago Bears.W,Chicago Bears.L,Chicago Bears.T,Chicago Bears.PCT,Chicago Bears.PF,Chicago Bears.PA,Chicago Bears.Net Pts,Chicago Bears.Home,Chicago Bears.Road,Chicago Bears.Div,Chicago Bears.Pct,Chicago Bears.Conf,Chicago Bears.Non-Conf,Chicago Bears.Strk,Chicago Bears.Last 5,Chicago Bears.year,Dallas Cowboys.W,Dallas Cowboys.L,Dallas Cowboys.T,Dallas Cowboys.PCT,Dallas Cowboys.PF,Dallas Cowboys.PA,Dallas Cowboys.Net Pts,Dallas Cowboys.Home,Dallas Cowboys.Road,Dallas Cowboys.Div,Dallas Cowboys.Pct,Dallas Cowboys.Conf,Dallas Cowboys.Non-Conf,Dallas Cowboys.Strk,Dallas Cowboys.Last 5,Dallas Cowboys.year,Pittsburgh Steelers.W,Pittsburgh Steelers.L,Pittsburgh Steelers.T,Pittsburgh Steelers.PCT,Pittsburgh Steelers.PF,Pittsburgh Steelers.PA,Pittsburgh Steelers.Net Pts,Pittsburgh Steelers.Home,Pittsburgh Steelers.Road,Pittsburgh Steelers.Div,Pittsburgh Steelers.Pct,Pittsburgh Steelers.Conf,Pittsburgh Steelers.Non-Conf,Pittsburgh Steelers.Strk,Pittsburgh Steelers.Last 5,Pittsburgh Steelers.year,Atlanta Falcons.W,Atlanta Falcons.L,Atlanta Falcons.T,Atlanta Falcons.PCT,Atlanta Falcons.PF,Atlanta Falcons.PA,Atlanta Falcons.Net Pts,Atlanta Falcons.Home,Atlanta Falcons.Road,Atlanta Falcons.Div,Atlanta Falcons.Pct,Atlanta Falcons.Conf,Atlanta Falcons.Non-Conf,Atlanta Falcons.Strk,Atlanta Falcons.Last 5,Atlanta Falcons.year,Denver Broncos.W,Denver Broncos.L,Denver Broncos.T,Denver Broncos.PCT,Denver Broncos.PF,Denver Broncos.PA,Denver Broncos.Net Pts,Denver Broncos.Home,Denver Broncos.Road,Denver Broncos.Div,Denver Broncos.Pct,Denver Broncos.Conf,Denver Broncos.Non-Conf,Denver Broncos.Strk,Denver Broncos.Last 5,Denver Broncos.year,Indianapolis Colts.W,Indianapolis Colts.L,Indianapolis Colts.T,Indianapolis Colts.PCT,Indianapolis Colts.PF,Indianapolis Colts.PA,Indianapolis Colts.Net Pts,Indianapolis Colts.Home,Indianapolis Colts.Road,Indianapolis Colts.Div,Indianapolis Colts.Pct,Indianapolis Colts.Conf,Indianapolis Colts.Non-Conf,Indianapolis Colts.Strk,Indianapolis Colts.Last 5,Indianapolis Colts.year,New York Jets.W,New York Jets.L,New York Jets.T,New York Jets.PCT,New York Jets.PF,New York Jets.PA,New York Jets.Net Pts,New York Jets.Home,New York Jets.Road,New York Jets.Div,New York Jets.Pct,New York Jets.Conf,New York Jets.Non-Conf,New York Jets.Strk,New York Jets.Last 5,New York Jets.year,Oakland Raiders.W,Oakland Raiders.L,Oakland Raiders.T,Oakland Raiders.PCT,Oakland Raiders.PF,Oakland Raiders.PA,Oakland Raiders.Net Pts,Oakland Raiders.Home,Oakland Raiders.Road,Oakland Raiders.Div,Oakland Raiders.Pct,Oakland Raiders.Conf,Oakland Raiders.Non-Conf,Oakland Raiders.Strk,Oakland Raiders.Last 5,Oakland Raiders.year,Tampa Bay Buccaneers.W,Tampa Bay Buccaneers.L,Tampa Bay Buccaneers.T,Tampa Bay Buccaneers.PCT,Tampa Bay Buccaneers.PF,Tampa Bay Buccaneers.PA,Tampa Bay Buccaneers.Net Pts,Tampa Bay Buccaneers.Home,Tampa Bay Buccaneers.Road,Tampa Bay Buccaneers.Div,Tampa Bay Buccaneers.Pct,Tampa Bay Buccaneers.Conf,Tampa Bay Buccaneers.Non-Conf,Tampa Bay Buccaneers.Strk,Tampa Bay Buccaneers.Last 5,Tampa Bay Buccaneers.year,Cleveland Browns.W,Cleveland Browns.L,Cleveland Browns.T,Cleveland Browns.PCT,Cleveland Browns.PF,Cleveland Browns.PA,Cleveland Browns.Net Pts,Cleveland Browns.Home,Cleveland Browns.Road,Cleveland Browns.Div,Cleveland Browns.Pct,Cleveland Browns.Conf,Cleveland Browns.Non-Conf,Cleveland Browns.Strk,Cleveland Browns.Last 5,Cleveland Browns.year,Jacksonville Jaguars.W,Jacksonville Jaguars.L,Jacksonville Jaguars.T,Jacksonville Jaguars.PCT,Jacksonville Jaguars.PF,Jacksonville Jaguars.PA,Jacksonville Jaguars.Net Pts,Jacksonville Jaguars.Home,Jacksonville Jaguars.Road,Jacksonville Jaguars.Div,Jacksonville Jaguars.Pct,Jacksonville Jaguars.Conf,Jacksonville Jaguars.Non-Conf,Jacksonville Jaguars.Strk,Jacksonville Jaguars.Last 5,Jacksonville Jaguars.year,Ariona Cardinals.W,Ariona Cardinals.L,Ariona Cardinals.T,Ariona Cardinals.PCT,Ariona Cardinals.PF,Ariona Cardinals.PA,Ariona Cardinals.Net Pts,Ariona Cardinals.Home,Ariona Cardinals.Road,Ariona Cardinals.Div,Ariona Cardinals.Pct,Ariona Cardinals.Conf,Ariona Cardinals.Non-Conf,Ariona Cardinals.Strk,Ariona Cardinals.Last 5,Ariona Cardinals.year,Carolina Panthers.W,Carolina Panthers.L,Carolina Panthers.T,Carolina Panthers.PCT,Carolina Panthers.PF,Carolina Panthers.PA,Carolina Panthers.Net Pts,Carolina Panthers.Home,Carolina Panthers.Road,Carolina Panthers.Div,Carolina Panthers.Pct,Carolina Panthers.Conf,Carolina Panthers.Non-Conf,Carolina Panthers.Strk,Carolina Panthers.Last 5,Carolina Panthers.year,Los Angeles Chargers.W,Los Angeles Chargers.L,Los Angeles Chargers.T,Los Angeles Chargers.PCT,Los Angeles Chargers.PF,Los Angeles Chargers.PA,Los Angeles Chargers.Net Pts,Los Angeles Chargers.Home,Los Angeles Chargers.Road,Los Angeles Chargers.Div,Los Angeles Chargers.Pct,Los Angeles Chargers.Conf,Los Angeles Chargers.Non-Conf,Los Angeles Chargers.Strk,Los Angeles Chargers.Last 5,Los Angeles Chargers.year,Miami Dolphins.W,Miami Dolphins.L,Miami Dolphins.T,Miami Dolphins.PCT,Miami Dolphins.PF,Miami Dolphins.PA,Miami Dolphins.Net Pts,Miami Dolphins.Home,Miami Dolphins.Road,Miami Dolphins.Div,Miami Dolphins.Pct,Miami Dolphins.Conf,Miami Dolphins.Non-Conf,Miami Dolphins.Strk,Miami Dolphins.Last 5,Miami Dolphins.year,New York Giants.W,New York Giants.L,New York Giants.T,New York Giants.PCT,New York Giants.PF,New York Giants.PA,New York Giants.Net Pts,New York Giants.Home,New York Giants.Road,New York Giants.Div,New York Giants.Pct,New York Giants.Conf,New York Giants.Non-Conf,New York Giants.Strk,New York Giants.Last 5,New York Giants.year,Detroit Lions.W,Detroit Lions.L,Detroit Lions.T,Detroit Lions.PCT,Detroit Lions.PF,Detroit Lions.PA,Detroit Lions.Net Pts,Detroit Lions.Home,Detroit Lions.Road,Detroit Lions.Div,Detroit Lions.Pct,Detroit Lions.Conf,Detroit Lions.Non-Conf,Detroit Lions.Strk,Detroit Lions.Last 5,Detroit Lions.year,Washington Redskins.W,Washington Redskins.L,Washington Redskins.T,Washington Redskins.PCT,Washington Redskins.PF,Washington Redskins.PA,Washington Redskins.Net Pts,Washington Redskins.Home,Washington Redskins.Road,Washington Redskins.Div,Washington Redskins.Pct,Washington Redskins.Conf,Washington Redskins.Non-Conf,Washington Redskins.Strk,Washington Redskins.Last 5,Washington Redskins.year,Cincinnati Bengals.W,Cincinnati Bengals.L,Cincinnati Bengals.T,Cincinnati Bengals.PCT,Cincinnati Bengals.PF,Cincinnati Bengals.PA,Cincinnati Bengals.Net Pts,Cincinnati Bengals.Home,Cincinnati Bengals.Road,Cincinnati Bengals.Div,Cincinnati Bengals.Pct,Cincinnati Bengals.Conf,Cincinnati Bengals.Non-Conf,Cincinnati Bengals.Strk,Cincinnati Bengals.Last 5,Cincinnati Bengals.year
5f93cd7316ecf93ad8fdfe72,14,2,false,0.875,531,282,249,7 - 1 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,4 - 0 - 0,12W,5 - 0 - 0,2019,13,3,false,0.813,376,313,63,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,0.833,10 - 2 - 0,3 - 1 - 0,5W,5 - 0 - 0,2019,13,3,false,0.813,458,341,117,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.750,9 - 3 - 0,4 - 0 - 0,3W,4 - 1 - 0,2019,13,3,false,0.813,479,310,169,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,3 - 1 - 0,2W,3 - 2 - 0,2019,12,4,false,0.750,451,308,143,5 - 3 - 0,7 - 1 - 0,6 - 0 - 0,0.750,9 - 3 - 0,3 - 1 - 0,6W,5 - 0 - 0,2019,12,4,false,0.750,420,225,195,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.667,8 - 4 - 0,4 - 0 - 0,1L,2 - 3 - 0,2019,11,5,false,0.688,405,398,7,4 - 4 - 0,7 - 1 - 0,3 - 3 - 0,0.667,8 - 4 - 0,3 - 1 - 0,2L,2 - 3 - 0,2019,10,6,false,0.625,314,259,55,4 - 4 - 0,6 - 2 - 0,3 - 3 - 0,0.583,7 - 5 - 0,3 - 1 - 0,2L,2 - 3 - 0,2019,10,6,false,0.625,378,385,-7,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,2 - 2 - 0,1L,3 - 2 - 0,2019,10,6,false,0.625,407,303,104,6 - 2 - 0,4 - 4 - 0,2 - 4 - 0,0.583,7 - 5 - 0,3 - 1 - 0,2L,2 - 3 - 0,2019,9,7,false,0.563,394,364,30,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.583,7 - 5 - 0,2 - 2 - 0,1W,3 - 2 - 0,2019,9,7,false,0.563,385,354,31,5 - 3 - 0,4 - 4 - 0,5 - 1 - 0,0.583,7 - 5 - 0,2 - 2 - 0,4W,4 - 1 - 0,2019,9,7,false,0.563,402,331,71,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.583,7 - 5 - 0,2 - 2 - 0,1W,3 - 2 - 0,2019,8,8,false,0.500,280,298,-18,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.583,7 - 5 - 0,1 - 3 - 0,1W,3 - 2 - 0,2019,8,8,false,0.500,434,321,113,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.583,7 - 5 - 0,1 - 3 - 0,1W,2 - 3 - 0,2019,8,8,false,0.500,289,303,-14,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,2 - 2 - 0,3L,2 - 3 - 0,2019,7,9,false,0.438,381,399,-18,3 - 5 - 0,4 - 4 - 0,4 - 2 - 0,0.500,6 - 6 - 0,1 - 3 - 0,4W,4 - 1 - 0,2019,7,9,false,0.438,282,316,-34,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,1 - 3 - 0,2W,4 - 1 - 0,2019,7,9,false,0.438,361,373,-12,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.417,5 - 7 - 0,2 - 2 - 0,1L,1 - 4 - 0,2019,7,9,false,0.438,276,359,-83,5 - 3 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,3 - 1 - 0,2W,3 - 2 - 0,2019,7,9,false,0.438,313,419,-106,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.417,5 - 7 - 0,2 - 2 - 0,1L,1 - 4 - 0,2019,7,9,false,0.438,458,449,9,2 - 6 - 0,5 - 3 - 0,2 - 4 - 0,0.417,5 - 7 - 0,2 - 2 - 0,2L,3 - 2 - 0,2019,6,10,false,0.375,335,393,-58,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0 - 4 - 0,3L,1 - 4 - 0,2019,6,10,false,0.375,300,397,-97,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.500,6 - 6 - 0,0 - 4 - 0,1W,2 - 3 - 0,2019,5,10,true,0.344,361,442,-81,2 - 5 - 1,3 - 5 - 0,1 - 5 - 0,0.292,3 - 8 - 1,2 - 2 - 0,1L,2 - 3 - 0,2019,5,11,false,0.313,340,470,-130,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.167,2 - 10 - 0,3 - 1 - 0,8L,0 - 5 - 0,2019,5,11,false,0.313,337,345,-8,2 - 6 - 0,3 - 5 - 0,0 - 6 - 0,0.250,3 - 9 - 0,2 - 2 - 0,3L,1 - 4 - 0,2019,5,11,false,0.313,306,494,-188,3 - 5 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,1 - 3 - 0,2W,3 - 2 - 0,2019,4,12,false,0.250,341,451,-110,2 - 6 - 0,2 - 6 - 0,2 - 4 - 0,0.250,3 - 9 - 0,1 - 3 - 0,1L,2 - 3 - 0,2019,3,12,true,0.219,341,423,-82,2 - 6 - 0,1 - 6 - 1,0 - 6 - 0,0.208,2 - 9 - 1,1 - 3 - 0,9L,0 - 5 - 0,2019,3,13,false,0.188,266,435,-169,1 - 7 - 0,2 - 6 - 0,0 - 6 - 0,0.167,2 - 10 - 0,1 - 3 - 0,4L,1 - 4 - 0,2019,2,14,false,0.125,279,420,-141,2 - 6 - 0,0 - 8 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0 - 4 - 0,1W,2 - 3 - 0,2019
5f93cda516ecf93ad8fdfe73,,,,,,,,,,,,,,,,,10,6,false,0.625,368,323,45,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.583,7 - 5 - 0,3 - 1 - 0,2L,3 - 2 - 0,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,false,0.688,405,287,118,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,1 - 3 - 0,10W,5 - 0 - 0,2015,12,4,false,0.750,465,315,150,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.750,9 - 3 - 0,3 - 1 - 0,2L,2 - 3 - 0,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,false,0.563,339,313,26,5 - 3 - 0,4 - 4 - 0,5 - 1 - 0,0.583,7 - 5 - 0,2 - 2 - 0,3W,3 - 2 - 0,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,false,0.375,335,397,-62,1 - 7 - 0,5 - 3 - 0,1 - 5 - 0,0.250,3 - 9 - 0,3 - 1 - 0,1L,1 - 4 - 0,2015,4,12,false,0.250,275,374,-99,1 - 7 - 0,3 - 5 - 0,3 - 3 - 0,0.250,3 - 9 - 0,1 - 3 - 0,4L,1 - 4 - 0,2015,,,,,,,,,,,,,,,,,8,8,false,0.500,339,345,-6,4 - 4 - 0,4 - 4 - 0,1 - 5 - 0,0.417,5 - 7 - 0,3 - 1 - 0,1L,2 - 3 - 0,2015,,,,,,,,,,,,,,,,,8,8,false,0.500,333,408,-75,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.500,6 - 6 - 0,2 - 2 - 0,2W,2 - 3 - 0,2015,10,6,false,0.625,387,314,73,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.583,7 - 5 - 0,3 - 1 - 0,1L,4 - 1 - 0,2015,7,9,false,0.438,359,399,-40,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.583,7 - 5 - 0,0 - 4 - 0,1L,2 - 3 - 0,2015,6,10,false,0.375,342,417,-75,3 - 5 - 0,3 - 5 - 0,3 - 3 - 0,0.417,5 - 7 - 0,1 - 3 - 0,4L,1 - 4 - 0,2015,3,13,false,0.188,278,432,-154,2 - 6 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,1 - 3 - 0,3L,1 - 4 - 0,2015,5,11,false,0.313,376,448,-72,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.417,5 - 7 - 0,0 - 4 - 0,3L,1 - 4 - 0,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,false,0.375,310,389,-79,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.333,4 - 8 - 0,2 - 2 - 0,1W,2 - 3 - 0,2015,6,10,false,0.375,420,442,-22,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,2 - 2 - 0,3L,1 - 4 - 0,2015,7,9,false,0.438,358,400,-42,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,1 - 3 - 0,3W,3 - 2 - 0,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f93cdac16ecf93ad8fdfe74,,,,,,,,,,,,,,,,,10,6,false,0.625,432,388,44,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.667,8 - 4 - 0,2 - 2 - 0,6W,5 - 0 - 0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,false,0.750,389,311,78,6 - 2 - 0,6 - 2 - 0,6 - 0 - 0,0.750,9 - 3 - 0,3 - 1 - 0,2W,4 - 1 - 0,2016,14,2,false,0.875,441,250,191,6 - 2 - 0,8 - 0 - 0,5 - 1 - 0,0.917,11 - 1 - 0,3 - 1 - 0,7W,5 - 0 - 0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,false,0.563,279,328,-49,7 - 1 - 0,2 - 6 - 0,5 - 1 - 0,0.583,7 - 5 - 0,2 - 2 - 0,1L,3 - 2 - 0,2016,,,,,,,,,,,,,,,,,4,12,false,0.250,224,394,-170,1 - 7 - 0,3 - 5 - 0,2 - 4 - 0,0.250,3 - 9 - 0,1 - 3 - 0,7L,0 - 5 - 0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,false,0.188,279,399,-120,3 - 5 - 0,0 - 8 - 0,2 - 4 - 0,0.250,3 - 9 - 0,0 - 4 - 0,4L,1 - 4 - 0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,false,0.563,333,297,36,5 - 3 - 0,4 - 4 - 0,2 - 4 - 0,0.500,6 - 6 - 0,3 - 1 - 0,1W,2 - 3 - 0,2016,8,8,false,0.500,411,392,19,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.417,5 - 7 - 0,3 - 1 - 0,1W,3 - 2 - 0,2016,5,11,false,0.313,275,409,-134,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,1 - 3 - 0,1W,2 - 3 - 0,2016,,,,,,,,,,,,,,,,,9,7,false,0.563,354,369,-15,4 - 4 - 0,5 - 3 - 0,4 - 2 - 0,0.583,7 - 5 - 0,2 - 2 - 0,1W,3 - 2 - 0,2016,true,15,false,0.063,264,452,-188,1 - 7 - 0,0 - 8 - 0,0 - 6 - 0,0.083,1 - 11 - 0,0 - 4 - 0,1L,1 - 4 - 0,2016,3,13,false,0.188,318,400,-82,2 - 6 - 0,1 - 7 - 0,2 - 4 - 0,0.167,2 - 10 - 0,1 - 3 - 0,1L,1 - 4 - 0,2016,7,8,true,0.469,418,362,56,4 - 3 - 1,3 - 5 - 0,4 - 1 - 1,0.542,6 - 5 - 1,1 - 3 - 0,2W,3 - 2 - 0,2016,6,10,false,0.375,369,402,-33,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.417,5 - 7 - 0,1 - 3 - 0,2L,2 - 3 - 0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,true,0.531,396,383,13,4 - 4 - 0,4 - 3 - 1,3 - 3 - 0,0.500,6 - 6 - 0,2 - 1 - 1,1L,2 - 3 - 0,2016,6,9,true,0.406,325,315,10,4 - 3 - 1,2 - 6 - 0,3 - 3 - 0,0.417,5 - 7 - 0,1 - 2 - 1,1W,3 - 2 - 0,2016
